PLAYER,BIRTHDAY,BIRTH STATE / COUNTRY,BIRTH CITY,NATIONALITY,POS,HEIGHT,WEIGHT,COLLEGE / TEAM,DRAFT,PICK,TEAM,REAL TEAM,
John Salley,5/16/1964,New York,New York City,United States,C-F,6-11,255,Georgia Tech,1986,11,DET,DET,John Salley
John Salmons,12/12/1979,Pennsylvania,Philadelphia,United States,F-G,6-6,207,Miami,2002,26,SAS,PHI,John Salmons
John Schweitz,4/19/1960,New York,Waterloo,United States,G,6-6,210,Richmond,1982,138,BOS,BOS,John Schweitz
John Shasky,7/31/1964,Michigan,Birmingham,United States,C,6-11,235,Minnesota,1986,61,UTA,UTA,John Shasky
John Shumate,4/6/1952,South Carolina,Greenville,United States,F,6-9,235,Notre Dame,1974,4,PHX,PHX,John Shumate
John Starks,8/10/1965,Oklahoma,Tulsa,United States,G,6-5,190,Oklahoma St,1988,UND,,,John Starks
John Stockton,3/26/1962,Washington,Spokane,United States,G,6-1,175,Gonzaga,1984,16,UTA,UTA,John Stockton
John Stroeder,7/24/1958,Washington,Bremerton,United States,F,6-10,260,Montana,1980,168,POR,POR,John Stroeder
John Stroud,10/29/1957,Mississippi,New Albany,United States,F,6-7,215,Mississippi,1980,27,HOU,HOU,John Stroud
John Thomas,9/8/1975,Minnesota,Minneapolis,United States,C,6-9,265,Minnesota,1997,25,NYK,NYK,John Thomas
John Thompson,9/2/1941,District Columbia,Washington,United States,F,6-10,225,Providence,1964,25,BOS,BOS,John Thompson
John Tresvant,11/6/1939,District Columbia,Washington,United States,F,6-7,215,Seattle,1964,40,ATL,ATL,John Tresvant
John Tschogl,4/25/1950,California,Chula Vista,United States,F,6-6,206,UC Santa Barbara,1972,60,GSW,GSW,John Tschogl
John Turner,11/30/1967,District Columbia,Washington,United States,F,6-8,245,Phillips,1991,20,HOU,HOU,John Turner
John Vallely,10/3/1948,California,Newport Beach,United States,G,6-3,185,UCLA,1970,14,ATL,ATL,John Vallely
John Wall,9/6/1990,North Carolina,Raleigh,United States,G,6-3,210,Kentucky,2010,1,WAS,WAS,John Wall
John Wallace,2/9/1974,New York,Rochester,United States,F,6-9,225,Syracuse,1996,18,NYK,NYK,John Wallace
John Warren,7/7/1947,Georgia,Sparta,United States,G,6-3,180,St. John's,1969,11,NYK,NYK,John Warren
John Wetzel,10/22/1944,Virginia,Waynesboro,United States,G,6-5,190,Virginia Tech,1966,75,LAL,LAL,John Wetzel
John Williams,10/26/1966,California,Los Angeles,United States,F,6-8,235,LSU,1986,12,WAS,WAS,John Williams
John Williamson,11/10/1951,Connecticut,New Haven,United States,G,6-2,185,New Mexico St,1973,96,ATL,ATL,John Williamson
John Windsor,4/3/1940,Missouri,Kansas City,United States,F,6-8,215,Stanford,1962,39,PHI,GSW,John Windsor
Johnathan Motley,5/4/1995,Texas,Houston,United States,F,6-8,230,Baylor,2017,UND,,,Johnathan Motley
Johnathan Williams,5/22/1995,Tennessee,Memphis,United States,F,6-9,228,Gonzaga,2018,UND,,,Johnathan Williams
Johni Broome,7/19/2002,Florida,Plant City,United States,F,6-10,243,Auburn,2025,35,PHI,PHI,Johni Broome
Johnny Austin,8/31/1944,District Columbia,Washington,United States,G,6-0,170,Boston College,1966,38,BOS,BOS,Johnny Austin
Johnny Bach,7/10/1924,New York,New York City,United States,F,6-2,180,Fordham,1948,15,BOS,BOS,Johnny Bach
Johnny Baum,6/17/1946,Pennsylvania,Philadelphia,United States,F,6-5,200,Temple,1969,23,CHI,CHI,Johnny Baum
Johnny Cox,11/1/1936,Kentucky,Neon,United States,G,6-4,180,Kentucky,1958,27,NYK,NYK,Johnny Cox
Johnny Davis,2/27/2002,Michigan,Detroit,United States,G,6-4,195,Wisconsin,2022,10,WAS,WAS,Johnny Davis
Johnny Davis (1955),10/21/1955,Michigan,Detroit,United States,G,6-2,170,Dayton,1976,22,POR,POR,Johnny Davis (1955)
Johnny Dawkins,9/28/1963,District Columbia,Washington,United States,G,6-2,165,Duke,1986,10,SAS,SAS,Johnny Dawkins
Johnny Egan,1/31/1939,Connecticut,Hartford,United States,G,6-0,180,Providence,1961,12,DET,DET,Johnny Egan
Johnny Ezersky,3/21/1922,New York,New York City,United States,F-G,6-3,175,Rhode Island,1947,33,BOS,PRO,Johnny Ezersky
Johnny Furphy,12/7/2004,Australia,Melbourne,Australia,G,6-9,200,Kansas,2024,35,SAS,IND,Johnny Furphy
Johnny Green,12/8/1933,Ohio,Dayton,United States,F,6-5,200,Michigan St,1959,5,NYK,NYK,Johnny Green
Johnny High,4/25/1957,Alabama,Birmingham,United States,G,6-3,185,Nevada,1979,24,PHX,PHX,Johnny High
Johnny Horan,11/24/1932,Minnesota,Minneapolis,United States,F,6-8,190,Dayton,1955,6,DET,DET,Johnny Horan
Johnny Jones,3/12/1943,District Columbia,Washington,United States,F,6-7,205,UCLA,1967,UND,,,Johnny Jones
Johnny Jorgensen,12/28/1921,Illinois,Chicago,United States,G,6-2,185,DePaul,1947,UND,,,Johnny Jorgensen
Johnny Juzang,3/17/2001,California,Los Angeles,United States,G,6-5,209,UCLA,2022,UND,,,Johnny Juzang
Johnny Logan,1/1/1921,Indiana,Richmond,United States,G,6-2,175,Indiana,,,,,Johnny Logan
Johnny Macknowski,1/7/1923,Russia,,United States,G,6-1,180,Seton Hall,1948,34,SAC,SAC,Johnny Macknowski
Johnny McCarthy,4/25/1934,New York,Buffalo,United States,G,6-1,185,Canisius,1956,24,SAC,SAC,Johnny McCarthy
Johnny Moore,3/3/1958,Pennsylvania,Altoona,United States,G,6-1,175,Texas,1979,43,OKC,SAS,Johnny Moore
Johnny Neumann,9/11/1951,Tennessee,Memphis,United States,G,6-6,200,Mississippi,1973,98,CHI,CHI,Johnny Neumann
Johnny Newman,11/28/1963,Virginia,Danville,United States,F,6-7,210,Richmond,1986,29,CLE,CLE,Johnny Newman
Johnny Norlander,3/5/1921,Minnesota,Virginia,United States,F,6-3,180,Hamline,,,,,Johnny Norlander
Johnny O'Bryant,6/1/1993,Mississippi,Cleveland,United States,F-C,6-9,257,LSU,2014,36,MIL,MIL,Johnny O'Bryant
Johnny Orr,6/10/1927,Kansas,Yale,United States,,,,Beloit,1949,17,STB,STB,Johnny Orr
Johnny Payak,11/20/1926,Ohio,Rossford,United States,G,6-4,174,Bowling Green,1949,UND,,,Johnny Payak
Johnny Rogers,12/30/1963,California,Fullerton,United States,F,6-10,225,UC-Irvine,1986,34,SAC,SAC,Johnny Rogers
Johnny Simmons,7/7/1924,Alabama,Birmingham,United States,G,6-1,184,New York University,,,,,Johnny Simmons
Johnny Taylor,6/4/1974,Tennessee,Chattanooga,United States,F,6-9,220,Tennessee-Chattanooga,1997,17,ORL,ORL,Johnny Taylor
Jon Barry,7/25/1969,California,Oakland,United States,G,6-5,210,Georgia Tech,1992,21,BOS,MIL,Jon Barry
Jon Brockman,3/20/1987,Washington,Snohomish,United States,F,6-7,255,Washington,2009,38,POR,SAC,Jon Brockman
Jon Koncak,5/17/1963,Iowa,Cedar Rapids,United States,C,7-0,250,Southern Methodist,1985,5,ATL,ATL,Jon Koncak
Jon Leuer,5/14/1989,Minnesota,Long Lake,United States,F,6-10,228,Wisconsin,2011,40,MIL,MIL,Jon Leuer
Jon McGlocklin,6/10/1943,Indiana,Franklin,United States,G,6-5,205,Indiana,1965,24,SAC,SAC,Jon McGlocklin
Jon Sundvold,7/2/1961,South Dakota,Sioux Falls,United States,G,6-2,170,Missouri,1983,16,OKC,OKC,Jon Sundvold
Jon Teske,5/4/1997,Indiana,Indianapolis,United States,C,7-1,265,Michigan,2020,UND,,,Jon Teske
Jonah Bolden,1/2/1996,Australia,Melbourne,Australia,F,6-10,220,UCLA,2017,36,PHI,PHI,Jonah Bolden
Jonas Jerebko,3/2/1987,Sweden,Kinna,Sweden,F,6-10,231,Biella,2009,39,DET,DET,Jonas Jerebko
Jonas Valanciunas,5/6/1992,Lithuania,Utena,Lithuania,C,6-11,265,Rytas,2011,5,TOR,TOR,Jonas Valanciunas
Jonathan Bender,1/30/1981,Mississippi,Picayune,United States,F,7-0,230,Picayune HS (MS),1999,5,TOR,IND,Jonathan Bender
Jonathan Gibson,11/8/1987,California,West Covina,United States,G,6-2,185,New Mexico St,2010,UND,,,Jonathan Gibson
Jonathan Isaac,10/3/1997,New York,New York City,United States,F,6-10,230,Florida St,2017,6,ORL,ORL,Jonathan Isaac
Jonathan Kerner,6/6/1974,Georgia,Atlanta,United States,C,6-11,245,East Carolina,1997,UND,,,Jonathan Kerner
Jonathan Kuminga,10/6/2002,DR Congo,Goma,DR Congo,F,6-7,225,G League Ignite,2021,7,GSW,GSW,Jonathan Kuminga
Jonathan Mogbo,10/29/2001,Florida,West Palm Beach,United States,F,6-9,215,San Francisco,2024,31,TOR,TOR,Jonathan Mogbo
Jonathon Simmons,9/14/1989,Texas,Houston,United States,F,6-6,195,Houston,2012,UND,,,Jonathon Simmons
Jonny Flynn,2/6/1989,New York,Niagara Falls,United States,G,6-0,185,Syracuse,2009,6,MIN,MIN,Jonny Flynn
Jontay Porter,11/15/1999,Missouri,Columbia,United States,C-F,6-10,240,Missouri,2019,UND,,,Jontay Porter
Jordan Adams,7/8/1994,Georgia,Atlanta,United States,G,6-5,209,UCLA,2014,22,MEM,MEM,Jordan Adams
Jordan Bell,1/7/1995,California,Los Angeles,United States,F,6-8,216,Oregon,2017,38,CHI,GSW,Jordan Bell
Jordan Bone,11/5/1997,Tennessee,Nashville,United States,G,6-3,180,Tennessee,2019,57,NOP,DET,Jordan Bone
Jordan Clarkson,6/7/1992,Florida,Tampa,Philippines,G,6-3,194,Missouri,2014,46,WAS,LAL,Jordan Clarkson
Jordan Crawford,10/23/1988,Michigan,Detroit,United States,G,6-5,195,Xavier,2010,27,BKN,ATL,Jordan Crawford
Jordan Farmar,11/30/1986,California,Los Angeles,United States,G,6-2,180,UCLA,2006,26,LAL,LAL,Jordan Farmar
Jordan Ford,5/26/1998,California,Citrus Heights,United States,G,6-1,175,St. Mary's College,2020,UND,,,Jordan Ford
Jordan Goodwin,10/23/1998,Illinois,Centreville,United States,G,6-4,200,St. Louis,2021,UND,,,Jordan Goodwin
Jordan Hall,1/14/2002,New Jersey,Wildwood,United States,G,6-7,215,St. Joseph's (PA),2022,UND,,,Jordan Hall
Jordan Hamilton,10/6/1990,California,Los Angeles,United States,G-F,6-7,220,Texas,2011,26,DAL,DEN,Jordan Hamilton
Jordan Hawkins,4/29/2002,Maryland,Gaithersburg,United States,G,6-5,190,Connecticut,2023,14,NOP,NOP,Jordan Hawkins
Jordan Hill,7/27/1987,Georgia,Atlanta,United States,F-C,6-10,240,Arizona,2009,8,NYK,NYK,Jordan Hill
Jordan Loyd,7/27/1993,Georgia,Atlanta,United States,G,6-4,210,Indianapolis,2016,UND,,,Jordan Loyd
Jordan McLaughlin,4/9/1996,California,Etiwanda,United States,G,6-0,185,USC,2018,UND,,,Jordan McLaughlin
Jordan McRae,3/28/1991,Georgia,Savannah,United States,G,6-5,179,Tennessee,2014,58,SAS,PHI,Jordan McRae
Jordan Mickey,7/9/1994,Texas,Dallas,United States,C-F,6-8,235,LSU,2015,33,BOS,BOS,Jordan Mickey
Jordan Miller,1/23/2000,California,Anaheim,United States,G,6-5,194,Miami,2023,48,LAC,LAC,Jordan Miller
Jordan Nwora,9/9/1998,New York,Buffalo,Nigeria,F,6-8,225,Louisville,2020,45,MIL,MIL,Jordan Nwora
Jordan Poole,6/19/1999,Wisconsin,Milwaukee,United States,G,6-4,194,Michigan,2019,28,GSW,GSW,Jordan Poole
Jordan Schakel,6/13/1998,California,Torrance,United States,G,6-6,200,San Diego St,2021,UND,,,Jordan Schakel
Jordan Sibert,8/1/1992,Ohio,Cincinnati,United States,G,6-4,187,Dayton,2015,UND,,,Jordan Sibert
Jordan Walsh,3/3/2004,Texas,DeSoto,United States,G,6-6,205,Arkansas,2023,38,SAC,BOS,Jordan Walsh
Jordan Williams,10/11/1990,Connecticut,Torrington,United States,C,6-10,260,Maryland,2011,36,BKN,BKN,Jordan Williams
Jorge Garbajosa,12/19/1977,Spain,Madrid,Spain,F,6-9,245,Baskonia,1999,UND,,,Jorge Garbajosa
Jorge Gutierrez,12/27/1988,Mexico,Chihuahua,Mexico,G,6-3,189,California,2012,UND,,,Jorge Gutierrez
Jose Alvarado,4/12/1998,New York,New York City,Puerto Rico,G,6-0,179,Georgia Tech,2021,UND,,,Jose Alvarado
Jose Calderon,9/28/1981,Spain,Villanueva de la Serena,Spain,G,6-3,200,Baskonia,2003,UND,,,Jose Calderon
Jose Juan Barea,6/26/1984,Puerto Rico,Mayaguez,Puerto Rico,G,5-10,180,Northeastern,2006,UND,,,Jose Juan Barea
Jose Ortiz,10/25/1963,Puerto Rico,Albonito,Puerto Rico,F,6-10,225,Oregon St,1987,15,UTA,UTA,Jose Ortiz
Jose Slaughter,9/9/1960,California,Los Angeles,United States,G,6-5,205,Portland,1982,43,IND,IND,Jose Slaughter
Joseph Forte,3/23/1981,Georgia,Atlanta,United States,G,6-4,194,North Carolina,2001,21,BOS,BOS,Joseph Forte
Joseph Young,6/27/1992,Texas,Houston,United States,G,6-2,185,Oregon,2015,43,IND,IND,Joseph Young
Josh Akognon,2/10/1986,California,Greenbrae,Nigeria,G,5-11,185,UC-Fullerton,2009,UND,,,Josh Akognon
Josh Boone,11/21/1984,Maryland,Mount Airy,United States,F-C,6-10,240,Connecticut,2006,23,BKN,BKN,Josh Boone
Josh Childress,6/20/1983,California,Harbor City,United States,F,6-8,210,Stanford,2004,6,ATL,ATL,Josh Childress
Josh Christopher,12/8/2001,California,Carson,United States,G,6-4,215,Arizona St,2021,24,HOU,HOU,Josh Christopher
Josh Davis,8/10/1980,Oregon,Salem,United States,F,6-8,235,Wyoming,2002,UND,,,Josh Davis
Josh Giddey,10/10/2002,Australia,Melbourne,Australia,G,6-8,216,Adelaide 36ers,2021,6,OKC,OKC,Josh Giddey
Josh Grant,8/7/1967,Utah,Salt Lake City,United States,F,6-9,223,Utah,1993,43,DEN,GSW,Josh Grant
Josh Gray,9/9/1993,Louisiana,Lake Charles,United States,G,6-0,180,LSU,2016,UND,,,Josh Gray
Josh Green,11/16/2000,Australia,Sydney,Australia,G,6-5,200,Arizona,2020,18,DAL,DAL,Josh Green
Josh Hall,10/8/2000,North Carolina,Greenville,United States,F,6-9,190,Moravian Prep (NC),2020,UND,,,Josh Hall
Josh Harrellson,2/12/1989,Missouri,St. Charles,United States,F-C,6-10,275,Kentucky,2011,45,NOP,NYK,Josh Harrellson
Josh Hart,3/6/1995,Maryland,Silver Spring,United States,G,6-4,215,Villanova,2017,30,UTA,LAL,Josh Hart
Josh Howard,4/28/1980,North Carolina,Winston-Salem,United States,F,6-7,210,Wake Forest,2003,29,DAL,DAL,Josh Howard
Josh Huestis,12/19/1991,Texas,Webster,United States,G,6-7,230,Stanford,2014,29,OKC,OKC,Josh Huestis
Josh Jackson,2/10/1997,California,San Diego,United States,G-F,6-8,207,Kansas,2017,4,PHX,PHX,Josh Jackson
Josh Magette,11/28/1989,Alabama,Birmingham,United States,G,6-1,160,Alabama Huntsville,2012,UND,,,Josh Magette
Josh McRoberts,2/28/1987,Indiana,Indianapolis,United States,F,6-10,240,Duke,2007,37,POR,POR,Josh McRoberts
Josh Minott,11/25/2002,Florida,Boca Raton,Jamaica,F,6-8,205,Memphis,2022,45,CHA,MIN,Josh Minott
Josh Okogie,9/1/1998,Nigeria,Lagos,Nigeria,G,6-4,213,Georgia Tech,2018,20,MIN,MIN,Josh Okogie
Josh Powell,1/25/1983,South Carolina,Charleston,United States,F,6-9,240,North Carolina St,2003,UND,,,Josh Powell
Josh Primo,12/24/2002,Canada,Mississauga,Canada,G,6-4,189,Alabama,2021,12,SAS,SAS,Josh Primo
Josh Reaves,6/4/1997,Virginia,Fairfax,Bolivia,G-F,6-4,214,Penn St,2019,UND,,,Josh Reaves
Josh Richardson,9/15/1993,Oklahoma,Edmond,United States,G,6-5,200,Tennessee,2015,40,MIA,MIA,Josh Richardson
Josh Selby,3/27/1991,Maryland,Baltimore,United States,G,6-2,183,Kansas,2011,49,MEM,MEM,Josh Selby
Josh Smith,12/5/1985,Georgia,College Park,United States,F,6-9,225,Oak Hill Academy (VA),2004,17,ATL,ATL,Josh Smith
JP Macura,6/5/1995,Minnesota,Lakeville,United States,G,6-5,205,Xavier,2018,UND,,,JP Macura
JR Bremer,9/19/1980,Ohio,Cleveland,United States,G,6-2,185,St. Bonaventure,2002,UND,,,JR Bremer
JR Giddens,2/13/1985,Oklahoma,Oklahoma City,United States,G,6-5,215,New Mexico,2008,30,BOS,BOS,JR Giddens
JR Smith,9/9/1985,New Jersey,Freehold,United States,G,6-6,220,St. Benedict's Prep (NJ),2004,18,NOP,NOP,JR Smith
Jrue Holiday,6/12/1990,California,Chatsworth,United States,G,6-4,205,UCLA,2009,17,PHI,PHI,Jrue Holiday
JT Thor,8/26/2002,Nebraska,Omaha,United States,F,6-9,203,Auburn,2021,37,DET,CHA,JT Thor
Juan Carlos Navarro,6/13/1980,Spain,Sant Feliu de Llobregat,Spain,G,6-3,170,Barcelona,2002,39,WAS,MEM,Juan Carlos Navarro
Juan Dixon,10/9/1978,Maryland,Baltimore,United States,G,6-3,165,Maryland,2002,17,WAS,WAS,Juan Dixon
Juan Hernangomez,9/28/1995,Spain,Madrid,Spain,F,6-9,214,Estudiantes,2016,15,DEN,DEN,Juan Hernangomez
Juan Toscano-Anderson,4/10/1993,California,Oakland,Mexico,F,6-6,209,Marquette,2015,UND,,,Juan Toscano-Anderson
Juaquin Hawkins,7/2/1973,California,Gardena,United States,F,6-7,205,Long Beach St,1996,UND,,,Juaquin Hawkins
Jud Buechler,6/19/1968,California,San Diego,United States,G-F,6-6,228,Arizona,1990,38,OKC,BKN,Jud Buechler
Jules Bernard,1/21/2000,California,Los Angeles,United States,G,6-6,210,UCLA,2022,UND,,,Jules Bernard
Julian Champagnie,6/29/2001,New York,New York City,United States,F,6-7,217,St. John's,2022,UND,,,Julian Champagnie
Julian Phillips,11/5/2003,Texas,Killeen,United States,F,6-8,198,Tennessee,2023,35,BOS,CHI,Julian Phillips
Julian Strawther,4/18/2002,Nevada,Las Vegas,Puerto Rico,G,6-6,205,Gonzaga,2023,29,IND,DEN,Julian Strawther
Julian Washburn,12/18/1991,Texas,Duncanville,United States,F-G,6-8,209,Texas-El Paso,2015,UND,,,Julian Washburn
Julian Wright,5/20/1987,Illinois,Chicago,United States,F,6-8,225,Kansas,2007,13,NOP,NOP,Julian Wright
Julius Erving,2/22/1950,New York,Roosevelt,United States,F,6-7,200,Massachusetts,1972,12,MIL,MIL,Julius Erving
Julius Hodge,11/18/1983,New York,New York City,Antigua and Barbuda,G,6-7,210,North Carolina St,2005,20,DEN,DEN,Julius Hodge
Julius Nwosu,5/1/1971,Nigeria,Nkwere,Nigeria,F,6-10,255,Liberty,1993,UND,,,Julius Nwosu
Julius Randle,11/29/1994,Texas,Dallas,United States,F-C,6-8,250,Kentucky,2014,7,LAL,LAL,Julius Randle
Julyan Stone,12/7/1988,Virginia,Alexandria,United States,G,6-6,200,Texas-El Paso,2011,UND,,,Julyan Stone
Jumaine Jones,2/10/1979,Florida,Cocoa,United States,F,6-8,230,Georgia,1999,27,ATL,PHI,Jumaine Jones
Junior Bridgeman,9/17/1953,Indiana,East Chicago,United States,F,6-5,210,Louisville,1975,8,LAL,MIL,Junior Bridgeman
Junior Burrough,1/18/1973,North Carolina,Charlotte,United States,F,6-8,242,Virginia,1995,33,BOS,BOS,Junior Burrough
Junior Harrington,10/2/1980,North Carolina,Wagram,United States,G,6-4,190,Wingate,2002,UND,,,Junior Harrington
Justin Anderson,11/19/1993,Virginia,Montross,United States,F-G,6-5,231,Virginia,2015,21,DAL,DAL,Justin Anderson
Justin Champagnie,6/29/2001,New York,New York City,United States,G-F,6-6,206,Pittsburgh,2021,UND,,,Justin Champagnie
Justin Dentmon,9/5/1985,Illinois,Carbondale,United States,G,5-11,185,Washington,2009,UND,,,Justin Dentmon
Justin Edwards,12/16/2003,Pennsylvania,Philadelphia,United States,F,6-7,230,Kentucky,2024,ND,,,Justin Edwards
Justin Hamilton,4/1/1990,California,Newport Beach,Croatia,C,7-0,255,LSU,2012,45,PHI,MIA,Justin Hamilton
Justin Harper,8/30/1989,Virginia,Richmond,United States,F-C,6-10,225,Richmond,2011,32,CLE,ORL,Justin Harper
Justin Holiday,4/5/1989,California,Mission Hills,United States,F-G,6-6,180,Washington,2011,UND,,,Justin Holiday
Justin Jackson,3/28/1995,Texas,Houston,United States,F,6-8,220,North Carolina,2017,15,POR,SAC,Justin Jackson
Justin James,1/24/1997,Florida,Port St. Lucie,United States,G-F,6-7,190,Wyoming,2019,40,SAC,SAC,Justin James
Justin Minaya,3/26/1999,New Jersey,Harrington Park,Dominican Republic,F,6-5,205,Providence,2022,UND,,,Justin Minaya
Justin Patton,6/14/1997,Georgia,Omaha,United States,C,6-11,241,Creighton,2017,16,CHI,MIN,Justin Patton
Justin Reed,1/16/1982,Mississippi,Jackson,United States,F,6-8,240,Mississippi,2004,40,BOS,BOS,Justin Reed
Justin Robinson,10/12/1997,Virginia,Manassas,United States,G,6-1,195,Virginia Tech,2019,UND,,,Justin Robinson
Justin Williams,5/12/1984,Illinois,Chicago,United States,F,6-10,230,Wyoming,2006,UND,,,Justin Williams
Justin Wright-Foreman,10/27/1997,New York,New York City,United States,G,6-0,190,Hofstra,2019,53,UTA,UTA,Justin Wright-Foreman
Justise Winslow,3/26/1996,Texas,Houston,United States,F-G,6-6,222,Duke,2015,10,MIA,MIA,Justise Winslow
Justus Thigpen,8/13/1947,Michigan,Flint,United States,G,6-1,160,Weber St,1969,147,HOU,HOU,Justus Thigpen
Jusuf Nurkic,8/23/1994,Bosnia,Tuzla,Bosnia,C,7-0,290,Cedevita,2014,16,CHI,DEN,Jusuf Nurkic
Juwan Howard,2/7/1973,Illinois,Chicago,United States,F,6-9,250,Michigan,1994,5,WAS,WAS,Juwan Howard
Juwan Morgan,4/17/1997,Missouri,Waynesville,United States,F,6-7,232,Indiana,2019,UND,,,Juwan Morgan
K.C. Jones,5/25/1932,Texas,Taylor,United States,G,6-1,200,San Francisco,1956,13,BOS,BOS,K.C. Jones
Kadeem Allen,1/15/1993,North Carolina,Wilmington,United States,G,6-3,200,Arizona,2017,53,BOS,BOS,Kadeem Allen
Kai Jones,1/19/2001,Bahamas,Nassau,Bahamas,C-F,6-11,221,Texas,2021,19,NYK,CHA,Kai Jones
Kaiser Gates,11/8/1996,Georgia,Atlanta,United States,F,6-7,225,Xavier,2018,UND,,,Kaiser Gates
Kalin Lucas,5/24/1989,Michigan,Sterling Heights,United States,G,6-1,195,Michigan St,2011,UND,,,Kalin Lucas
Kaniel Dickens,7/21/1978,Colorado,Denver,United States,F,6-8,215,Idaho,2000,50,UTA,UTA,Kaniel Dickens
Kannard Johnson,6/24/1965,Ohio,Cincinnati,United States,F,6-9,220,Western Kentucky,1987,41,CLE,CLE,Kannard Johnson
Kareem Abdul-Jabbar,4/16/1947,New York,New York City,United States,C,7-2,225,UCLA,1969,1,MIL,MIL,Kareem Abdul-Jabbar
Kareem Rush,10/30/1980,Missouri,Kansas City,United States,G,6-6,215,Missouri,2002,20,TOR,LAL,Kareem Rush
Karim Mane,5/16/2000,Senegal,Dakar,Canada,G,6-3,190,Vanier,2020,UND,,,Karim Mane
Karl Malone,7/24/1963,Louisiana,Summerfield,United States,F,6-9,259,Louisiana Tech,1985,13,UTA,UTA,Karl Malone
Karl-Anthony Towns,11/15/1995,New Jersey,Edison,Dominican Republic,C-F,7-0,248,Kentucky,2015,1,MIN,MIN,Karl-Anthony Towns
Karlo Matkovic,3/30/2001,Livno,Bosnia,Slovenia,F-C,6-10,231,Mega Basket,2022,ND,NOP,NOP,Karlo Matkovic
Kasib Powell,3/18/1981,New Jersey,Teaneck,United States,F,6-7,215,Texas Tech,2003,UND,,,Kasib Powell
Kawhi Leonard,6/29/1991,California,Los Angeles,United States,F,6-7,225,San Diego St,2011,15,IND,SAS,Kawhi Leonard
Kay Felder,3/29/1995,Michigan,Detroit,United States,G,5-9,176,Oakland,2016,54,ATL,CLE,Kay Felder
Keaton Wallace,2/26/1999,Texas,Richardson,United States,G,6-3,195,UT San Antonio,2021,ND,,,Keaton Wallace
Kebu Stewart,12/19/1973,New York,New York City,United States,F,6-8,239,UC-Bakersfield,1997,35,PHI,PHI,Kebu Stewart
Kedrick Brown,3/18/1981,Louisiana,Zachary,United States,G-F,6-7,222,Northwest Florida St,2001,11,BOS,BOS,Kedrick Brown
Keegan Murray,8/19/2000,Iowa,Cedar Rapids,United States,F,6-8,225,Iowa,2022,4,SAC,SAC,Keegan Murray
Keifer Sykes,12/30/1993,Illinois,Chicago,United States,G,5-11,167,Wisconsin-Green Bay,2015,UND,,,Keifer Sykes
Keion Brooks,8/7/2000,Indiana,Fort Wayne,United States,SF,6-7,210,Washington,2024,ND,,,Keion Brooks
Keita Bates-Diop,1/23/1996,Illinois,Bloomington,United States,F,6-8,229,Ohio St,2018,48,MIN,MIN,Keita Bates-Diop
Keith Appling,2/13/1992,Michigan,Detroit,United States,G,6-1,185,Michigan St,2014,UND,,,Keith Appling
Keith Askins,12/15/1967,Alabama,Athens,United States,F-G,6-8,215,Alabama,1990,UND,,,Keith Askins
Keith Benson,8/13/1988,Ohio,Cleveland,United States,F-C,6-11,240,Oakland,2011,48,ATL,ATL,Keith Benson
Keith Bogans,5/12/1980,Virginia,Alexandria,United States,G-F,6-5,215,Kentucky,2003,43,MIL,ORL,Keith Bogans
Keith Booth,10/9/1974,Maryland,Baltimore,United States,F,6-6,226,Maryland,1997,28,CHI,CHI,Keith Booth
Keith Closs,4/3/1976,Connecticut,Hartford,United States,C,7-3,212,Central Connecticut St,1997,UND,,,Keith Closs
Keith Edmonson,9/28/1960,Mississippi,Gulfport,United States,G,6-5,195,Purdue,1982,10,ATL,ATL,Keith Edmonson
Keith Erickson,4/19/1944,California,San Francisco,United States,F,6-5,195,UCLA,1965,18,GSW,GSW,Keith Erickson
Keith Herron,6/14/1956,Tennessee,Memphis,United States,G,6-6,195,Villanova,1978,24,POR,POR,Keith Herron
Keith Jennings,11/2/1968,Virginia,Culpepper,United States,G,5-7,160,East Tennessee St,1991,UND,,,Keith Jennings
Keith Langford,9/15/1983,Texas,Fort Worth,United States,G,6-4,215,Kansas,2005,UND,,,Keith Langford
Keith Lee,12/28/1962,Arkansas,West Memphis,United States,F,6-10,215,Memphis,1985,11,CHI,CLE,Keith Lee
Keith McCord,6/22/1957,Alabama,Birmingham,United States,G,6-7,210,Alabama-Birmingham,1979,198,PHI,PHI,Keith McCord
Keith McLeod,11/5/1979,Ohio,Canton,United States,G,6-2,190,Bowling Green,2002,UND,,,Keith McLeod
Keith Owens,5/31/1969,California,San Francisco,United States,F,6-7,225,UCLA,1991,UND,,,Keith Owens
Keith Smart,9/21/1964,Louisiana,Baton Rouge,United States,G,6-1,175,Indiana,1988,41,GSW,GSW,Keith Smart
Keith Smith,3/9/1964,Michigan,Flint,United States,G,6-3,180,Loyola-Marymount,1986,45,MIL,MIL,Keith Smith
Keith Starr,3/14/1954,Pennsylvania,Sewickley,United States,G,6-6,190,Pittsburgh,1976,52,CHI,CHI,Keith Starr
Keith Tower,5/15/1970,Montana,Libby,United States,C,6-11,250,Notre Dame,1992,UND,,,Keith Tower
Keith Van Horn,10/23/1975,California,Fullerton,United States,F,6-10,245,Utah,1997,2,PHI,BKN,Keith Van Horn
Kel'el Ware,4/20/2004,Arkansas,Sherwood,United States,C,7-0,180,Indiana,2024,15,MIA,MIA,Kel'el Ware
Kelan Martin,8/3/1995,Kentucky,Louisville,United States,F,6-5,230,Butler,2018,UND,,,Kelan Martin
